#{"t_start": 1642059931.976555, "env_id": null}
r,l,t
0,54,0.40957
0,46,0.49457
10,60,0.574571
0,48,0.62557
0,43,0.699143
0,54,0.756407
0,50,0.830409
0,54,0.900408
0,50,0.963407
0,47,1.046411
20,58,1.115408
20,63,1.203408
0,54,1.267411
0,51,1.321411
0,53,1.412407
20,55,1.507409
0,52,1.608409
0,49,1.661411
0,54,1.74441
0,46,1.793407
20,59,1.883411
0,48,1.951408
10,56,2.026409
0,49,2.094408
0,41,2.16641
0,54,2.218407
0,54,2.289408
0,46,2.353407
0,49,2.438407
0,54,2.523408
0,51,2.585407
0,52,2.63941
10,63,2.718025
0,54,2.798642
0,54,2.858642
0,49,2.93664
20,61,3.063639
0,54,3.133643
0,42,3.199639
0,54,3.260639
0,48,3.336639
0,54,3.420639
0,48,3.478642
0,54,3.56364
30,62,3.668462
0,54,3.721461
0,34,3.757461
30,60,3.820172
0,53,3.878172
0,52,3.93517
0,54,3.988169
0,54,4.04717
0,54,4.10417
0,47,4.154169
0,46,4.19917
0,54,4.25117
10,63,4.320169
10,58,4.386171
0,47,4.44117
0,51,4.49117
20,63,4.55917
0,54,4.61317
0,49,4.660174
0,52,4.717179
0,46,4.769797
0,49,4.816736
0,49,4.866744
0,46,4.910736
0,54,4.972736
0,54,5.022738
0,46,5.071586
0,54,5.123584
0,50,5.178584
0,54,5.232584
0,54,5.289587
0,54,5.340584
0,50,5.388584
0,54,5.457584
0,47,5.504584
0,54,5.558585
0,54,5.610588
0,54,5.665585
0,54,5.719586
0,54,5.779589
0,53,5.835584
0,54,5.89859
0,52,5.951584
0,54,6.006584
0,47,6.080588
0,48,6.127584
0,48,6.176589
20,55,6.231584
0,52,6.290588
0,54,6.347585
0,54,6.415583
0,44,6.461585
10,63,6.528585
0,43,6.572584
0,54,6.627584
0,54,6.681587
0,54,6.739584
10,59,6.799584
20,50,6.851423
0,41,6.896885
0,54,6.956507
0,54,7.009507
0,53,7.063507
20,63,7.132507
0,46,7.182507
10,62,7.243507
0,54,7.300508
20,57,7.365509
20,56,7.434507
0,49,7.482507
10,60,7.543507
0,54,7.606507
0,54,7.661507
20,63,7.727508
0,52,7.779508
0,54,7.832508
0,50,7.886507
0,48,7.938507
0,54,7.990508
0,54,8.043509
0,54,8.099507
0,54,8.15151
0,49,8.199507
0,51,8.250507
0,51,8.306507
0,54,8.363507
0,51,8.421507
0,46,8.466507
0,54,8.525508
0,54,8.576507
0,50,8.62615
0,46,8.673161
0,54,8.727161
0,43,8.771743
0,54,8.830743
0,54,8.882742
0,51,8.939957
0,54,8.995957
0,54,9.055959
0,34,9.089957
10,57,9.151957
0,54,9.203957
0,46,9.249957
0,53,9.303958
0,54,9.361958
0,54,9.419957
0,54,9.488957
0,48,9.533957
0,51,9.591959
0,54,9.642958
0,54,9.695957
0,54,9.761958
0,48,9.815959
0,54,9.878957
0,54,9.928957
0,44,9.974958
10,63,10.051541
0,53,10.108541
0,54,10.164541
0,54,10.218542
0,51,10.27454
0,54,10.324541
0,54,10.377541
0,46,10.440541
0,50,10.493541
0,48,10.542541
0,42,10.58754
0,46,10.633542
20,63,10.701542
0,50,10.759541
0,54,10.811541
0,54,10.865541
0,51,10.929541
0,54,10.98614
0,54,11.040393
20,60,11.097392
0,52,11.155394
0,54,11.206392
0,54,11.260393
0,54,11.315392
0,49,11.366393
0,46,11.418392
0,54,11.473392
0,50,11.522392
0,54,11.583392
0,54,11.635393
0,46,11.684392
10,57,14.040809
0,54,14.097807
10,63,14.160807
0,45,14.207807
0,54,14.260808
0,54,14.317806
0,53,14.370807
0,52,14.422807
0,48,14.474808
10,63,14.544807
0,54,14.597807
0,54,14.649807
0,54,14.705808
0,54,14.764807
20,63,14.826807
0,47,14.872807
0,44,14.922807
0,54,14.976807
0,48,15.028809
0,49,15.076962
0,54,15.127752
0,54,15.186752
0,54,15.240753
20,63,15.305753
20,63,15.369752
0,54,15.453753
0,49,15.502752
10,57,15.563753
0,54,15.619752
0,54,15.677752
0,54,15.727753
0,47,15.776753
0,51,15.826753
0,48,15.880752
0,37,15.924752
0,54,15.983755
0,50,16.049752
0,54,16.11076
20,55,16.167752
0,48,16.216753
20,50,16.272755
0,54,16.340752
0,54,16.393754
0,54,16.471752
0,54,16.524752
0,54,16.582752
0,47,16.628755
30,63,16.695752
0,54,16.749761
0,47,16.801753
20,63,16.870752
0,48,16.916752
0,54,16.970752
0,54,17.031752
20,63,17.094752
0,54,17.146524
0,49,17.199523
0,38,17.243524
0,42,17.286523
0,50,17.337523
0,54,17.394523
0,54,17.457524
0,48,17.507524
0,54,17.564523
0,50,17.614523
0,43,17.662523
0,44,17.707524
0,54,17.757523
0,54,17.809523
0,54,17.867523
0,49,17.916524
0,53,17.967523
0,46,18.012523
20,63,18.087523
0,54,18.140523
0,54,18.194524
0,47,18.239522
0,53,18.295523
0,54,18.351523
0,52,18.406523
0,50,18.456523
0,54,18.515523
0,54,18.569523
0,53,18.619523
0,54,18.671311
0,44,18.72231
0,38,18.762311
0,46,18.805944
0,49,18.854943
0,54,18.913944
20,63,18.977943
0,54,19.031944
0,54,19.084947
0,54,19.143521
0,50,19.197073
10,60,19.256073
0,53,19.309073
0,54,19.371073
0,54,19.433072
10,63,19.497073
0,47,19.547072
0,54,19.606075
0,54,19.659073
0,54,19.713073
0,54,19.767072
10,61,19.831072
0,49,19.879072
0,54,19.932073
0,39,19.971073
0,50,20.036072
0,54,20.092703
0,54,20.143703
0,54,20.196703
0,48,20.248703
0,54,20.300703
20,61,20.361703
0,43,20.408703
0,52,20.463703
0,46,20.509702
0,54,20.564703
0,54,20.619704
0,54,20.679703
0,54,20.734702
0,47,20.783702
0,54,20.838704
0,46,20.892703
0,54,20.947705
0,50,20.998703
0,46,21.045705
0,48,21.101703
0,54,21.155703
0,54,21.214735
0,54,21.270735
0,54,21.328735
20,61,21.411735
0,54,21.466736
20,60,21.527734
0,49,21.580735
0,54,21.633734
0,46,21.679736
20,56,21.733735
0,54,21.800735
0,47,21.847735
10,63,21.916735
0,46,21.961735
0,54,22.016735
0,47,22.075735
0,51,22.129734
0,47,22.174736
20,63,22.241735
0,41,22.284734
0,54,22.339736
20,59,22.398735
0,54,22.465736
0,48,22.511735
0,54,22.566734
0,54,22.618736
0,54,22.679734
0,45,22.736735
0,54,22.790735
0,54,22.840735
0,50,22.899735
0,54,22.951734
0,54,23.015735
0,38,23.057736
0,44,23.109735
0,52,23.158735
0,46,23.206736
0,47,23.270277
0,48,23.32108
0,54,23.378079
0,51,23.440642
0,54,23.494642
0,54,23.552642
0,44,23.597643
0,43,23.640488
0,46,23.687489
0,54,23.74349
0,54,23.799109
20,59,23.860107
0,46,23.907108
30,59,23.973108
0,47,24.02011
0,54,24.073108
0,48,24.120108
0,47,24.172108
0,49,24.221108
0,45,24.273109
0,48,24.322108
0,48,24.375108
0,53,24.426109
0,54,24.494109
20,63,24.562108
0,49,24.612108
0,48,24.655107
20,63,24.719107
0,54,24.773108
0,45,24.819107
0,54,24.874109
0,51,24.927108
0,54,24.982108
0,46,25.039108
0,54,25.089665
0,54,25.140666
20,50,25.192666
0,47,25.242666
0,47,25.295413
0,54,25.348046
0,50,25.414045
0,52,25.475046
0,54,25.533046
0,54,25.589045
0,48,25.637046
0,51,25.699047
0,48,25.748046
0,46,25.797046
0,54,25.854046
0,54,25.911047
0,54,25.964046
0,54,26.016046
0,48,26.074048
0,53,26.132047
0,50,26.21105
10,63,26.277049
0,51,26.324046
0,49,26.376046
0,54,26.438046
0,50,26.495046
0,54,26.555046
0,44,26.60005
10,63,26.665046
0,54,26.731046
0,54,26.785046
0,39,26.829045
0,51,26.880046
0,54,26.933046
0,49,26.980046
0,50,27.040051
0,54,27.098046
0,54,27.152046
0,40,27.192045
0,38,27.235047
0,45,27.291045
0,54,27.348603
20,63,27.420724
0,47,27.470724
0,48,27.519724
20,62,27.581724
0,52,27.632725
20,63,27.697725
0,54,27.744725
0,54,27.800725
0,43,27.844724
10,58,27.923726
0,54,27.977729
0,46,28.025725
0,45,28.071725
20,58,28.137725
0,51,28.188724
0,54,28.236724
0,54,28.289725
0,54,28.355725
0,54,28.425724
20,62,28.495726
0,54,28.547724
0,54,28.606724
0,54,28.661726
0,40,28.703724
0,39,28.743292
0,54,28.850292
10,53,28.916292
0,49,28.993292
0,48,29.052293
0,45,29.146292
0,48,29.201294
20,63,29.289292
30,58,29.358292
0,46,29.454616
