time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
1372,4,-152185.5,0,343.0,3438,0.9993483000000003,,,
2556,8,-141325.25,0,319.5,3444,0.9987858999999999,,,
4482,12,-186291.0,1,373.5,3518,0.9978710500000005,,,
6075,16,-185733.625,1,379.6875,3538,0.9971143749999996,,,
7550,20,-181058.0,2,377.5,3535,0.9964137499999997,,,
9751,24,-207843.41666666666,2,406.2916666666667,3565,0.995368275,,,
11166,28,-201321.14285714287,3,398.7857142857143,3540,0.9946961499999999,,,
13627,32,-240458.125,3,425.84375,3563,0.9935271749999998,,,
15223,36,-235802.0,4,422.8611111111111,3560,0.9927690750000001,,,
16665,40,-227387.4,4,416.625,3558,0.992084125,,,
18579,44,-243166.31818181818,5,422.25,3569,0.9911749749999996,,,
19975,48,-232390.20833333334,5,416.1458333333333,3566,0.9905118749999996,,,
21951,52,-241893.88461538462,6,422.13461538461536,3556,0.989573275,,,
23522,56,-240847.42857142858,6,420.0357142857143,3559,0.9888270499999999,,,
25126,60,-238794.26666666666,7,418.76666666666665,3560,0.9880651500000002,,,
26703,64,-236954.3125,7,417.234375,3565,0.9873160750000005,,,
28595,68,-238762.35294117648,8,420.5147058823529,3570,0.9864173749999999,,,
30521,72,-236377.22222222222,8,423.90277777777777,3570,0.9855025250000006,,,
32092,76,-232695.15789473685,8,422.2631578947368,3567,0.9847563000000005,,,
33681,80,-232628.7,9,421.0125,3568,0.9840015249999996,,,
34774,84,-225217.85714285713,9,413.9761904761905,3564,0.9834823500000002,,,
36067,88,-222548.95454545456,10,409.85227272727275,3563,0.9828681750000002,,,
38071,92,-227442.1739130435,10,413.8152173913044,3566,0.9819162750000002,,,
39844,96,-232517.97916666666,11,415.0416666666667,3565,0.9810741000000001,,,
41532,100,-231016.48,11,415.32,3562,0.9802723000000002,,,
42803,104,-229810.28,12,414.31,3559,0.9796685749999999,,,
44777,108,-235871.84,12,422.21,3564,0.9787309249999999,,,
46892,112,-239078.84,13,424.1,3570,0.9777262999999997,,,
48632,116,-240452.78,13,425.57,3572,0.9768998000000002,,,
50033,120,-239922.46,14,424.83,3552,0.9762343249999998,8,0.0001,597.334228515625
52019,124,-241053.08,18,422.68,2823,0.9752909749999996,504,0.0001,497.4674072265625
53963,128,-243917.46,22,427.97,2387,0.9743675750000005,990,0.0001,450.02392578125
55625,132,-231315.64,26,419.98,2124,0.9735781250000004,1406,0.0001,298.3272399902344
57428,136,-234729.28,30,422.05,1907,0.9727217000000004,1856,0.0001,127.98942565917969
59211,140,-237712.06,33,425.46,1742,0.9718747750000005,2302,0.0001,43.19058609008789
61071,144,-234083.48,38,424.92,1606,0.9709912750000004,2767,0.0001,17.214208602905273
62580,148,-236703.36,41,426.05,1515,0.9702744999999995,3144,0.0001,15.71514892578125
64013,152,-229020.16,44,420.62,1439,0.9695938249999998,3503,0.0001,8.733556747436523
66416,156,-236765.54,49,428.94,1338,0.9684523999999999,4103,0.0001,4.520227432250977
68339,160,-238483.72,53,432.13,1270,0.9675389750000003,4584,0.0001,3.958308458328247
70061,164,-238610.48,57,433.58,1218,0.9667210250000005,5015,0.0001,4.672194004058838
72292,168,-240712.76,62,436.97,1159,0.9656612999999998,5572,0.0001,1.9718706607818604
74752,172,-253264.56,67,442.31,1104,0.9644927999999999,6187,0.0001,3.281289577484131
76218,176,-252897.64,70,441.26,1075,0.9637964500000005,6554,0.0001,2.3901917934417725
78263,180,-255139.5,75,445.82,1038,0.9628250749999997,7065,0.0001,3.4270009994506836
80093,184,-262533.06,79,453.19,1009,0.9619558249999995,7523,0.0001,2.899806022644043
81966,188,-265776.1,83,458.99,982,0.96106615,7991,0.0001,3.8405683040618896
84067,192,-267485.78,87,459.96,956,0.9600681749999995,8516,0.0001,2.7515501976013184
85802,196,-263520.54,91,459.58,935,0.9592440500000003,8950,0.0001,3.5344302654266357
87909,200,-270025.54,96,463.77,913,0.9582432250000004,9477,0.0001,2.932610034942627
89446,204,-270357.16,99,466.43,898,0.9575131500000001,9861,0.0001,5.598130226135254
90813,208,-262673.54,102,460.36,885,0.9568638249999997,10203,0.0001,4.5568108558654785
92709,212,-260841.46,106,458.17,868,0.9559632250000002,10677,0.0001,2.4405810832977295
94328,216,-260229.2,110,456.96,855,0.9551942000000004,11081,0.0001,2.4412498474121094
96307,220,-266353.68,114,462.74,840,0.9542541750000001,11576,0.0001,3.3113582134246826
98253,224,-262399.4,118,462.34,827,0.9533298250000004,12063,0.0001,2.521519899368286
100125,228,-262782.6,122,461.62,814,0.9524406250000002,12531,0.0001,3.7150590419769287
101956,232,-265474.54,126,463.31,803,0.9515708999999997,12988,0.0001,4.4478302001953125
103552,236,-263583.84,130,461.24,794,0.9508128,13387,0.0001,4.418118953704834
105101,240,-259907.98,133,458.9,786,0.9500770249999997,13775,0.0001,4.06538724899292
107447,244,-267071.52,138,463.76,774,0.9489626749999998,14361,0.0001,2.213811159133911
108699,248,-263369.36,141,461.19,768,0.9483679749999996,14674,0.0001,4.884897232055664
110582,252,-270113.9,145,465.69,759,0.9474735500000004,15145,0.0001,3.6619889736175537
112091,256,-263424.64,148,456.75,752,0.9467567749999997,15522,0.0001,5.132622718811035
113854,260,-260636.98,152,455.15,745,0.94591935,15963,0.0001,2.971309185028076
115775,264,-261426.62,157,457.14,737,0.9450068749999999,16443,0.0001,3.1025164127349854
117440,268,-259133.6,160,451.48,730,0.9442160000000002,16859,0.0001,4.787961483001709
120427,272,-264355.7,167,456.75,720,0.9427971749999997,17606,0.0001,4.453750133514404
122293,276,-268346.14,171,460.75,714,0.941910825,18073,0.0001,6.123246192932129
123827,280,-262230.48,174,455.64,709,0.9411821749999997,18456,0.0001,2.5486555099487305
125062,284,-254770.42,177,449.69,705,0.94059555,18765,0.0001,3.62980318069458
126748,288,-250788.92,181,447.82,700,0.9397946999999995,19186,0.0001,2.437368392944336
128451,292,-245608.28,184,443.84,695,0.9389857749999998,19612,0.0001,5.429483413696289
129903,296,-239595.88,187,441.01,690,0.938296075,19975,0.0001,5.194221496582031
132346,300,-242110.18,193,444.37,684,0.9371356499999995,20586,0.0001,2.8520190715789795
135033,304,-256349.78,199,455.87,677,0.935859325,21258,0.0001,2.374145030975342
137069,308,-267339.8,203,462.56,673,0.9348922249999996,21767,0.0001,3.145249843597412
139099,312,-265992.14,208,463.9,668,0.9339279749999999,22274,0.0001,4.043697357177734
141419,316,-275999.18,213,470.91,663,0.9328259749999999,22854,0.0001,1.7786844968795776
143224,320,-272981.88,217,469.17,659,0.9319686000000003,23305,0.0001,1.5184859037399292
145524,324,-275428.3,222,472.71,655,0.9308761000000004,23880,0.0001,3.601311206817627
147620,328,-277557.84,226,474.95,651,0.9298805000000003,24404,0.0001,3.0865867137908936
149109,332,-271500.02,229,471.53,648,0.9291732249999998,24777,0.0001,6.787978172302246
151145,336,-272942.66,234,475.93,644,0.9282061250000004,25286,0.0001,5.594851016998291
152357,340,-270906.16,237,472.56,642,0.9276304249999997,25589,0.0001,3.263134241104126
153527,344,-254494.38,239,460.8,640,0.9270746750000001,25881,0.0001,3.236229419708252
155429,348,-258847.24,243,467.3,637,0.9261712249999998,26357,0.0001,4.736058712005615
157204,352,-255111.06,247,466.22,634,0.9253281000000002,26800,0.0001,5.990453720092773
159188,356,-254820.84,251,470.97,631,0.9243857000000004,27296,0.0001,4.088641166687012
161987,360,-279025.66,258,481.33,627,0.9230561750000005,27996,0.0001,3.3720061779022217
163525,364,-277194.52,261,477.5,625,0.922325625,28381,0.0001,2.124579906463623
165152,368,-273168.12,265,477.12,623,0.9215528000000003,28787,0.0001,4.530248641967773
166812,372,-255046.82,268,463.85,620,0.9207642999999998,29202,0.0001,2.7142155170440674
168894,376,-256292.42,273,466.01,618,0.9197753500000003,29723,0.0001,3.0391929149627686
170641,380,-259263.16,277,468.14,615,0.9189455249999999,30160,0.0001,5.1294989585876465
172395,384,-264100.7,280,473.33,613,0.9181123749999996,30598,0.0001,3.5879578590393066
173836,388,-266116.16,284,470.88,611,0.9174278999999997,30958,0.0001,2.337184429168701
175430,392,-263323.18,287,469.79,609,0.9166707499999995,31357,0.0001,5.047464847564697
177512,396,-269988.48,292,476.09,607,0.9156818000000002,31877,0.0001,1.3970980644226074
180426,400,-273275.14,298,480.8,603,0.91429765,32606,0.0001,1.9512616395950317
181969,404,-259663.22,302,469.36,602,0.9135647250000002,32992,0.0001,2.6595561504364014
184512,408,-260537.16,307,474.43,599,0.9123568000000005,33627,0.0001,3.5291364192962646
185933,412,-255322.4,310,468.34,597,0.9116818249999998,33983,0.0001,3.989926815032959
187862,416,-248413.36,315,464.43,596,0.9107655499999996,34465,0.0001,3.8745059967041016
189725,420,-251170.56,319,465.01,594,0.9098806249999998,34931,0.0001,2.1223678588867188
192679,424,-268660.78,325,471.55,591,0.908477475,35669,0.0001,3.4242615699768066
194878,428,-271817.3,330,472.58,589,0.9074329499999998,36219,0.0001,2.4291832447052
197748,432,-289543.06,336,486.39,586,0.9060697000000001,36936,0.0001,3.3155593872070312
200906,436,-314950.4,343,497.61,584,0.9045696499999997,37726,0.0001,5.054124355316162
203029,440,-324828.58,348,506.72,582,0.9035612250000005,38257,0.0001,2.3971545696258545
204784,444,-329221.62,352,512.57,581,0.9027276,38695,0.0001,1.6638283729553223
206905,448,-331860.9,357,514.76,579,0.9017201250000003,39226,0.0001,3.077279806137085
209318,452,-340355.74,362,521.14,577,0.9005739499999997,39829,0.0001,2.5743465423583984
211567,456,-347681.38,367,523.79,575,0.8995056750000004,40391,0.0001,2.8367598056793213
212977,460,-322397.92,370,509.9,574,0.8988359249999996,40744,0.0001,3.4765117168426514
214235,464,-318549.08,373,507.1,573,0.8982383749999998,41058,0.0001,2.7399418354034424
215925,468,-318843.58,376,507.73,572,0.8974356250000005,41481,0.0001,3.4674577713012695
218110,472,-322848.76,381,512.98,571,0.8963977499999999,42027,0.0001,1.8485374450683594
220163,476,-327175.1,386,512.69,569,0.8954225750000001,42540,0.0001,4.285073280334473
221959,480,-332339.76,390,513.18,568,0.8945694749999998,42989,0.0001,4.658212661743164
