Logging to ./train/ppo1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 6.24     |
|    ep_rew_mean     | -97.8    |
| time/              |          |
|    fps             | 927      |
|    iterations      | 1        |
|    time_elapsed    | 4        |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.72        |
|    ep_rew_mean          | -91.9       |
| time/                   |             |
|    fps                  | 313         |
|    iterations           | 2           |
|    time_elapsed         | 26          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.029579496 |
|    clip_fraction        | 0.236       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.17       |
|    explained_variance   | 0.0157      |
|    learning_rate        | 1e-05       |
|    loss                 | 2.2e+03     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0106     |
|    value_loss           | 6.66e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.52       |
|    ep_rew_mean          | -92.2      |
| time/                   |            |
|    fps                  | 257        |
|    iterations           | 3          |
|    time_elapsed         | 47         |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.03739152 |
|    clip_fraction        | 0.275      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.2       |
|    explained_variance   | -0.0389    |
|    learning_rate        | 1e-05      |
|    loss                 | 2.29e+03   |
|    n_updates            | 200        |
|    policy_gradient_loss | -0.00694   |
|    value_loss           | 4.22e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.67        |
|    ep_rew_mean          | -116        |
| time/                   |             |
|    fps                  | 236         |
|    iterations           | 4           |
|    time_elapsed         | 69          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.039545618 |
|    clip_fraction        | 0.279       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.16       |
|    explained_variance   | 0.0254      |
|    learning_rate        | 1e-05       |
|    loss                 | 787         |
|    n_updates            | 300         |
|    policy_gradient_loss | 0.0112      |
|    value_loss           | 1.9e+03     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 7.57      |
|    ep_rew_mean          | -92.9     |
| time/                   |           |
|    fps                  | 226       |
|    iterations           | 5         |
|    time_elapsed         | 90        |
|    total_timesteps      | 20480     |
| train/                  |           |
|    approx_kl            | 0.1208733 |
|    clip_fraction        | 0.284     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.98     |
|    explained_variance   | -0.0506   |
|    learning_rate        | 1e-05     |
|    loss                 | 5.02e+03  |
|    n_updates            | 400       |
|    policy_gradient_loss | -0.00747  |
|    value_loss           | 1.19e+04  |
---------------------------------------
----------------------------------------
| rollout/                |            |
