#{"t_start": 1641665631.797942, "env_id": null}
r,l,t
-72,10,0.061988
-105,1,0.063988
-102,3,0.067987
-105,1,0.06899
-102,3,0.072988
-111,10,0.083988
-109,8,0.093988
-89,3,0.097988
-89,3,0.102988
-263,29,0.136987
-102,3,0.139987
-30,17,0.158987
-93,5,0.163987
-6,9,0.174987
-89,3,0.178988
-105,1,0.179987
-97,2,0.182987
-97,2,0.185987
-116,15,0.200987
-104,6,0.207988
-97,2,0.210987
-112,15,0.225986
-101,4,0.2311
-109,9,0.2411
-89,3,0.245102
-54,55,0.302114
-89,3,0.305114
-94,4,0.310115
-105,1,0.312114
-89,3,0.315114
-86,5,0.321115
-109,3,0.324113
-94,4,0.329114
-98,6,0.335113
-139,29,0.365114
-105,1,0.366118
-85,7,0.374115
-116,12,0.387113
-104,6,0.393113
-105,1,0.394117
-94,4,0.399117
-97,2,0.401117
-97,2,0.404113
-89,3,0.407102
-105,1,0.409102
-94,4,0.413117
-115,3,0.417113
-105,1,0.418118
-87,5,0.424117
-145,18,0.440118
-97,2,0.443113
-287,30,0.471113
-97,2,0.473113
-104,2,0.476114
-105,1,0.477117
-97,2,0.480118
-114,9,0.489113
-104,7,0.496113
-89,3,0.500117
-101,4,0.504117
-97,2,0.507113
-105,1,0.508114
-105,1,0.510118
-104,7,0.517102
-110,2,0.519113
-105,1,0.521113
-81,4,0.525113
-105,1,0.527113
-184,29,0.555113
-96,3,0.558113
-107,4,0.563113
5,13,0.577113
-106,9,0.586113
-102,3,0.590113
-110,2,0.592113
112,43,0.635113
-107,4,0.640114
-97,2,0.642113
-97,2,0.645113
-21,12,0.658115
-105,1,0.659115
-99,5,0.664113
-105,1,0.666114
-94,4,0.670113
-18,17,0.688113
-105,1,0.689114
-47,22,0.711114
-97,2,0.714113
-97,2,0.716114
-127,28,0.744113
-105,1,0.746113
-120,16,0.761113
-112,5,0.767113
-89,3,0.770115
-94,4,0.775113
-72,13,0.789114
-33,23,0.812114
-71,11,0.824118
-105,1,0.826113
-70,31,0.857113
-117,6,0.863113
-105,1,0.864113
-106,9,0.873113
-105,1,0.875113
98,16,0.892113
-105,7,0.900114
-97,2,0.902117
-110,2,0.905113
-155,21,0.924113
-97,2,0.927113
-97,2,0.929117
-107,9,0.938118
-97,2,0.941114
-88,4,0.945117
-98,6,0.952113
-104,6,0.958117
-104,2,0.960118
-97,2,0.963113
-102,3,0.966117
-99,5,0.971114
-97,2,0.974113
-105,1,0.975113
-97,2,0.978118
-101,8,0.986113
-105,1,0.988118
-102,3,0.991113
-105,1,0.993117
-80,6,1.000113
-109,7,1.007113
-111,10,1.018118
-97,2,1.021114
-96,3,1.025117
-105,1,1.027117
-97,2,1.029117
-109,7,1.036114
-117,6,1.043106
-105,1,1.045118
-105,1,1.047114
-105,1,1.048115
-97,2,1.051113
-96,3,1.054114
-105,1,1.056114
-102,3,1.059114
-83,16,1.076113
-111,9,1.085113
-97,2,1.088115
-91,10,1.098113
-104,6,1.106113
-94,4,1.111115
-99,9,1.121114
-80,10,1.132102
-97,2,1.134113
-102,3,1.138114
-97,2,1.140114
-101,4,1.144249
-105,1,1.146113
-105,1,1.147113
-96,3,1.151102
-13,18,1.169113
-102,4,1.174113
-101,4,1.178115
-104,2,1.180114
-110,2,1.183115
-104,2,1.185113
-97,2,1.187113
360,36,1.225113
-97,2,1.227113
-91,6,1.234113
-89,3,1.237113
-143,19,1.255113
-109,7,1.262114
-85,7,1.269113
91,22,1.292113
-97,2,1.295113
-103,3,1.298114
-111,13,1.311113
-116,21,1.332113
-105,1,1.334113
-105,12,1.346113
-103,3,1.349118
-106,9,1.358115
-106,5,1.364113
-87,13,1.377113
-93,5,1.383113
-94,4,1.387113
-105,1,1.389113
-188,41,1.428118
-105,1,1.430113
-99,5,1.435113
-5,17,1.452113
-97,2,1.455117
-101,16,1.471117
-89,3,1.475114
-104,7,1.482113
106,18,1.501113
-10,12,1.513113
-97,2,1.516113
-102,3,1.519117
-103,7,1.527113
-108,8,1.535113
-102,3,1.538113
-105,1,1.539117
-94,4,1.544113
-101,4,1.548118
-97,2,1.550113
-97,2,1.553113
-76,7,1.561117
-105,1,1.562113
-105,1,1.563113
93,17,1.581114
-105,1,1.583113
-97,2,1.585114
-98,6,1.592113
-118,10,1.602113
-90,8,1.610113
-105,1,1.612104
-115,3,1.615113
-105,1,1.617113
-97,2,1.619114
-96,3,1.622113
-94,4,1.627113
-105,1,1.628115
-102,3,1.632113
-97,2,1.634113
-140,41,1.673113
-10,12,1.686113
-102,4,1.690114
-76,8,1.699114
-106,9,1.708643
-105,1,1.710644
-105,1,1.711647
-103,7,1.718644
-105,1,1.720644
-97,2,1.722648
-170,22,1.742643
-107,4,1.747643
-97,2,1.749644
-104,2,1.752643
-96,3,1.755632
-102,3,1.758647
-96,3,1.762643
-97,7,1.769647
-105,1,1.770633
-105,1,1.772643
-105,1,1.773643
-105,1,1.775643
-99,5,1.780643
-100,11,1.791643
-105,1,1.793643
-81,4,1.797643
-105,1,1.798647
-113,10,1.808648
-97,2,1.811644
4,7,1.819647
-91,6,1.825643
-124,10,1.835643
-96,14,1.849643
-105,1,1.851647
-97,2,1.853643
-105,1,1.855643
-118,11,1.866647
-102,14,1.880643
-97,2,1.882644
-94,4,1.886643
154,25,1.912643
-107,4,1.917643
-104,6,1.923643
-85,11,1.935643
-98,6,1.941643
-241,28,1.967885
53,33,2.001885
-93,5,2.006885
-129,11,2.017885
-105,1,2.019886
-102,3,2.022885
-89,3,2.026886
-85,7,2.033885
-94,5,2.039886
-75,5,2.044885
-104,2,2.047885
-105,1,2.048886
-7,16,2.065885
-121,11,2.076885
-105,1,2.077885
-105,1,2.079886
-71,10,2.090887
-101,8,2.098886
-105,1,2.100886
-105,1,2.101886
-97,2,2.104875
-105,1,2.105885
-89,3,2.109885
-82,16,2.127885
-186,59,2.187886
-99,5,2.192885
-97,2,2.195885
-104,6,2.201885
-93,13,2.215886
-105,1,2.217874
-103,7,2.224885
-97,2,2.226885
-94,4,2.232114
-94,4,2.235885
-105,1,2.237885
-105,1,2.238885
-105,1,2.239885
-93,19,2.259885
-104,2,2.261885
120,41,2.303885
119,8,2.312885
-89,3,2.315885
-104,7,2.323885
-104,6,2.329887
-89,3,2.333885
-102,3,2.336885
-105,1,2.338886
-80,6,2.344885
-105,1,2.345885
-105,1,2.347885
-94,4,2.351889
-94,4,2.356885
-117,7,2.363885
-120,16,2.378885
-105,1,2.380887
-94,4,2.384885
-105,1,2.385885
-9,13,2.399886
-114,9,2.40889
-94,4,2.413885
-119,14,2.426889
-97,2,2.42989
-94,4,2.433885
7,9,2.443885
-97,2,2.446885
-94,5,2.451885
-97,2,2.453889
-89,3,2.457885
-117,6,2.463885
-94,4,2.46889
-105,1,2.469889
-97,2,2.472885
-105,1,2.473885
-99,5,2.479889
-105,1,2.480885
-102,3,2.484889
-105,1,2.485885
-99,5,2.490889
-281,30,2.51889
-106,5,2.524886
-105,1,2.525885
-16,15,2.540885
-143,29,2.569886
-105,1,2.571885
1,13,2.585885
-89,3,2.588885
-105,1,2.590885
-97,2,2.592885
-97,2,2.595885
-105,1,2.596886
-97,2,2.599886
-152,34,2.632885
-146,20,2.651886
-97,2,2.654885
-98,6,2.660886
-20,20,2.680886
-96,13,2.694885
-105,1,2.696885
-102,3,2.699886
-94,4,2.703885
-99,5,2.709887
-105,1,2.710885
-89,3,2.713885
-110,12,2.725886
-111,13,2.738885
-119,9,2.747885
-94,4,2.752885
-105,1,2.753885
-105,1,2.755885
-13,13,2.768885
-101,8,2.776885
-104,6,2.783885
-105,1,2.784885
-105,1,2.786885
153,22,2.809885
-97,2,2.811886
-97,2,2.814885
-107,4,2.818885
-110,2,2.820886
-94,4,2.825885
-107,4,2.829885
-105,1,2.830885
-104,6,2.837889
-78,10,2.847885
-147,32,2.878885
-105,1,2.880887
-71,6,2.887885
-105,1,2.888885
-97,16,2.905885
-104,7,2.912885
-104,2,2.914885
-123,11,2.925885
12,12,2.938885
-117,6,2.944885
-100,11,2.955885
-89,3,2.959885
-97,2,2.961885
-99,5,2.967885
-119,10,2.977885
-107,4,2.981885
-105,1,2.983885
-106,13,2.995885
-124,10,3.005889
-1225,31,3.034885
-97,2,3.036885
-132,14,3.050885
-96,3,3.053885
-89,8,3.062889
-91,6,3.068885
110,21,3.090885
-114,27,3.118885
-111,10,3.130885
-73,8,3.139885
-94,5,3.144885
-108,10,3.154885
-102,8,3.162886
-132,18,3.180885
-106,5,3.185885
-129,12,3.197885
-97,2,3.199885
-124,10,3.209885
-99,5,3.215885
-105,1,3.216885
-99,14,3.230886
-94,4,3.234885
-88,5,3.240885
-105,1,3.241885
-102,8,3.249886
-97,2,3.252887
-89,3,3.255885
-97,2,3.257885
13,42,3.299885
-111,13,3.313885
-102,3,3.316875
-80,10,3.327885
-102,3,3.330885
334,51,3.382889
-97,2,3.385885
-110,2,3.387885
-39,27,3.413889
-99,5,3.419885
-97,2,3.421889
-97,2,3.424885
-93,5,3.429889
-102,3,3.433889
-27,20,3.452885
-104,5,3.458885
-105,1,3.459885
-102,8,3.467889
52,29,3.496885
-126,31,3.528885
-84,19,3.548874
-104,6,3.554874
-89,3,3.558875
-105,1,3.560875
-88,4,3.565874
-102,3,3.569875
-138,19,3.588873
-94,4,3.592872
-105,1,3.594872
-116,12,3.606872
-102,3,3.609872
-104,6,3.616872
-107,4,3.620874
-104,6,3.626872
-1161,43,3.668875
-102,3,3.671885
-109,3,3.674885
-104,6,3.681885
-140,32,3.713891
-94,4,3.719886
-104,2,3.721885
-104,6,3.728886
-105,1,3.729886
-105,1,3.731887
-97,2,3.733873
-102,3,3.737875
-99,5,3.742873
-96,3,3.746875
-107,5,3.751875
-105,1,3.753886
-105,1,3.754886
-106,5,3.760875
-121,15,3.775886
-131,17,3.794885
-119,9,3.805874
-10,12,3.819886
-92,6,3.826875
-99,6,3.832874
-110,2,3.835875
-97,2,3.837887
-89,3,3.841875
-105,1,3.842887
-93,5,3.848886
-131,17,3.866886
-104,6,3.873886
-110,2,3.875886
-105,1,3.877886
-140,19,3.900874
-105,1,3.901874
-89,3,3.906874
-105,1,3.908886
-105,1,3.909886
-76,17,3.931875
-97,7,3.939886
-104,6,3.946886
-105,1,3.948877
-97,2,3.951889
-105,1,3.953886
-93,5,3.960887
-109,8,3.968886
-105,1,3.969889
181,19,3.989992
-90,13,4.003993
-97,3,4.006992
-96,3,4.010996
-105,1,4.012981
-105,1,4.013982
-109,7,4.021991
-90,12,4.034992
-119,9,4.043992
-82,14,4.059995
-96,6,4.065995
-96,7,4.072992
-94,4,4.077991
173,19,4.097991
-94,4,4.101992
-117,11,4.112996
-102,3,4.116995
-102,3,4.119991
-265,38,4.157991
-97,2,4.160992
-94,4,4.164992
-67,11,4.176991
-97,2,4.17898
-105,1,4.180993
-105,1,4.182996
-116,12,4.193992
-117,11,4.204992
-101,13,4.217991
-106,5,4.223991
-103,7,4.230992
-111,6,4.236991
-99,5,4.242993
-20,14,4.256991
-106,9,4.266992
-97,2,4.269992
-104,6,4.275991
-97,2,4.278991
-97,2,4.280993
-105,1,4.282993
-102,3,4.285991
-105,1,4.286991
-104,6,4.293991
-105,1,4.294991
-99,5,4.300992
-97,2,4.302991
-104,6,4.308992
-134,24,4.333992
-114,14,4.347993
-96,4,4.351992
-105,1,4.353991
-99,5,4.358993
-105,1,4.360992
-119,10,4.370994
-170,22,4.390993
-97,2,4.393991
-99,5,4.398992
-105,1,4.400993
-97,2,4.402993
-42,19,21.835043
-105,1,21.837043
-94,4,21.841043
196,16,21.860043
-157,53,21.916043
-106,8,21.925043
-89,3,21.929043
-97,2,21.931043
-88,4,21.936043
-102,3,21.940043
-97,2,21.942043
-102,4,21.947043
-89,3,21.951043
-98,6,21.957043
-102,3,21.961043
-99,5,21.967043
-117,13,21.980043
-118,13,21.994043
-145,21,22.016043
-101,9,22.026043
-104,6,22.032044
187,20,22.055135
-99,5,22.061135
-93,5,22.067135
-95,9,22.076135
-94,4,22.081149
-107,25,22.108148
-96,4,22.113148
-101,4,22.117148
-90,11,22.129148
-104,2,22.132148
-27,43,22.177148
-105,1,22.178148
