rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-97.85,6.24,4,1,927,4096,,,,,,,,,,,,
-91.92,7.72,26,2,313,8192,-0.01059317457213183,6657.14448059082,0.23572998046875,0.029579496,0.2,-3.167520073056221,1e-05,100,2204.2138671875,0.015733659267425537,,
-92.16,5.52,47,3,257,12288,-0.006935171747172717,4216.504494934082,0.27484130859375,0.03739152,0.2,-3.1968537995219233,1e-05,200,2289.619873046875,-0.0389019250869751,,
-116.36,8.67,69,4,236,16384,0.011172974491491914,1895.7194538879394,0.27881591796875,0.039545618,0.2,-3.1597768598794937,1e-05,300,786.6024169921875,0.025395750999450684,,
-92.9,7.57,90,5,226,20480,-0.007472517463975236,11912.389196166992,0.2842724609375,0.1208733,0.2,-2.9763294902443884,1e-05,400,5022.92431640625,-0.05064570903778076,,
-92.68,8.19,112,6,218,24576,0.026419476063747425,1916.1271925354004,0.255498046875,0.05056713,0.2,-3.0899839115142824,1e-05,500,916.517822265625,-0.09733307361602783,,
-89.33,7.58,134,7,213,28672,0.0010416673935833387,2097.5864866638185,0.22425048828125,0.027045403,0.2,-3.0736230701208114,1e-05,600,732.130615234375,0.054537415504455566,,
-91.43,6.53,155,8,210,32768,-3.4885379136539996e-05,2055.090410308838,0.218427734375,0.027658822,0.2,-3.008024114370346,1e-05,700,867.1688232421875,0.06113773584365845,,
-84.15,8.27,177,9,207,36864,-0.014471283579769078,8336.209224853515,0.2210205078125,0.041108772,0.2,-2.9530896764993666,1e-05,800,3695.560791015625,0.037010133266448975,,
-117.31,11.84,199,10,205,40960,0.031114015887433198,2258.7832658386233,0.2373583984375,0.048888396,0.2,-3.146418944597244,1e-05,900,1067.7120361328125,0.0027309656143188477,,
-87.62,7.55,221,11,203,45056,-0.0046269711284548974,12228.513248291016,0.2884814453125,0.10293556,0.2,-2.9026286020874976,1e-05,1000,4192.8974609375,0.004583775997161865,,
-89.31,5.59,243,12,201,49152,0.0013029510212072637,8473.28458984375,0.2201611328125,0.089536816,0.2,-2.9314588949084284,1e-05,1100,2654.88525390625,-0.08237707614898682,,
-92.22,9.11,265,13,200,53248,0.028187192265759223,2637.769055786133,0.26841796875,0.043885984,0.2,-3.0562475046515463,1e-05,1200,1288.1380615234375,-0.07513797283172607,,
-93.49,6.79,287,14,199,57344,0.008923936107603368,4226.473605041504,0.1938427734375,0.03938831,0.2,-2.9856241226196287,1e-05,1300,1585.75830078125,0.08203065395355225,,
-82.52,8.86,309,15,198,61440,0.016413102028527648,2585.2536917114257,0.210048828125,0.043118514,0.2,-3.01623128503561,1e-05,1400,1064.4410400390625,0.08215141296386719,,
-87.42,9.2,330,16,198,65536,-0.004099684777465882,3840.264340209961,0.143515625,0.025635138,0.2,-2.9525505352020263,1e-05,1500,1578.7061767578125,0.10230857133865356,,
